feature,importance_mean,importance_std
annual_inc,0.005505505505505481,0.0034166262594346303
emp_length,0.004004004004003969,0.005627014743765848
installment,0.0036036036036036,0.0051471311840570275
issue_years,0.003403403403403382,0.006792070251726664
term,0.003303303303303273,0.004985949711876793
mort_acc,0.0023023023023022613,0.004104104104104085
emp_length_missing,0.002002002002001968,0.0014156291915646514
sub_grade,0.0011011011011010762,0.008743157849172244
verification_status,0.00040040040040038025,0.002460101246735656
application_type_Joint App,0.0,0.0
mort_acc_missing,-0.0002002002002002068,0.0011673577367057567
dti,-0.0002002002002002068,0.004560875175132939
credit_history_years,-0.00020020020020021788,0.0061184011170915395
pub_rec,-0.00030030030030031574,0.001617166608749094
home_ownership_OWN,-0.0006006006006005982,0.0008008008008008022
purpose,-0.0011011011011011318,0.0027027027027026933
pub_rec_bankruptcies,-0.0027027027027027193,0.001553971441067078
home_ownership_RENT,-0.0028028028028028174,0.0022293350802122126
initial_list_status_w,-0.0029029029029029375,0.0019742825749065147
revol_bal,-0.0033033033033033066,0.002833027366983983
total_acc,-0.0037037037037037203,0.003773388753747906
open_acc,-0.004404404404404416,0.005540881883122335
grade,-0.005605605605605623,0.004413495032041747
revol_util,-0.007407407407407429,0.0043907331730653225
home_ownership_MORTGAGE,-0.007907907907907918,0.002589092523799295
loan_amnt,-0.00800800800800804,0.0053156829018425585
int_rate,-0.012412412412412421,0.006966851908430546
