feature,shap_importance
sub_grade,0.3778382
issue_years,0.19906643
open_acc,0.19769455
int_rate,0.19700594
installment,0.18314138
annual_inc,0.1522984
revol_util,0.15216254
dti,0.14856884
mort_acc,0.14523469
total_acc,0.13845807
term,0.13329999
loan_amnt,0.12483468
credit_history_years,0.12261484
grade,0.12152869
revol_bal,0.12143272
emp_length,0.076342896
purpose,0.061994806
home_ownership_RENT,0.053420257
home_ownership_MORTGAGE,0.052809976
verification_status,0.044491544
initial_list_status_w,0.033579655
emp_length_missing,0.028424265
pub_rec,0.012416941
pub_rec_bankruptcies,0.010473971
mort_acc_missing,0.008144025
home_ownership_OWN,0.006061815
application_type_Joint App,0.0022387458
